id,username,password,role
,adarsh,adarsh1911,admin
,sakshi,sakshi123,user
,Aryan,aryan386,admin
,Kavya,kavya810,admin
,Aarav,aarav717,user
,Neha,neha272,user
,Dev,dev837,user
,Yash,yash166,admin
,Varun,varun932,admin
,Laksh,laksh268,user
,Rahul,rahul526,user
,Kabir,kabir278,user
,Zoya,zoya174,user
,Aditya,aditya362,user
,Sanya,sanya634,admin
,Ishita,ishita107,admin
,Riya,riya442,user
,Pooja,pooja802,user
,Om,om757,admin
,Vikram,vikram237,user
,Alok,alok423,user
,Meera,meera964,admin
,Tanya,tanya397,user
,Ananya,ananya228,user
